country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","06-04-2026 18:00:00",30.735567,76.775714,PM10,6,35,23
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","06-04-2026 18:00:00",30.735567,76.775714,NO2,6,18,12
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","06-04-2026 18:00:00",30.735567,76.775714,NH3,13,24,18
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","06-04-2026 18:00:00",30.751462,76.762879,PM10,17,44,31
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","06-04-2026 18:00:00",30.751462,76.762879,SO2,5,10,7
India,Bihar,Munger,"Town Hall, Munger - BSPCB","06-04-2026 18:00:00",25.376776,86.471523,SO2,NA,NA,NA
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","06-04-2026 18:00:00",26.1403345,85.3650192,PM10,54,69,63
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","06-04-2026 18:00:00",26.1403345,85.3650192,NH3,1,2,1
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","06-04-2026 18:00:00",26.1209,85.3647,PM2.5,70,123,92
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","06-04-2026 18:00:00",25.586562,85.043586,PM2.5,36,353,162
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","06-04-2026 18:00:00",25.592539,85.227158,PM2.5,71,84,76
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","06-04-2026 18:00:00",22.368195,82.746431,PM2.5,NA,NA,NA
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","06-04-2026 18:00:00",22.368195,82.746431,NH3,NA,NA,NA
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","06-04-2026 18:00:00",22.368195,82.746431,CO,10,22,14
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","06-04-2026 18:00:00",22.348441,82.549611,PM10,26,54,37
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","06-04-2026 18:00:00",22.348441,82.549611,SO2,1,9,5
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","06-04-2026 18:00:00",22.126650,83.483212,PM10,14,109,46
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","06-04-2026 18:00:00",22.126650,83.483212,NO2,15,76,31
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","06-04-2026 18:00:00",22.126650,83.483212,OZONE,3,23,20
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","06-04-2026 18:00:00",30.719859,76.738637,NH3,11,17,15
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","06-04-2026 18:00:00",21.185571,81.343175,PM2.5,15,49,29
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","06-04-2026 18:00:00",21.224231,81.408350,NO2,19,67,36
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","06-04-2026 18:00:00",22.118125,83.140608,PM2.5,NA,NA,NA
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","06-04-2026 18:00:00",22.118125,83.140608,CO,21,30,25
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","06-04-2026 18:00:00",21.219665,81.630094,NO2,25,36,30
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","06-04-2026 18:00:00",21.219665,81.630094,CO,24,44,33
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","06-04-2026 18:00:00",21.237755,81.705301,NH3,2,2,2
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","06-04-2026 18:00:00",22.06631475,83.33820077,PM2.5,20,57,38
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","06-04-2026 18:00:00",22.06631475,83.33820077,PM10,16,99,49
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","06-04-2026 18:00:00",25.610369,85.132568,PM2.5,NA,NA,NA
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","06-04-2026 18:00:00",25.610369,85.132568,NO2,NA,NA,NA
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","06-04-2026 18:00:00",25.610369,85.132568,OZONE,60,61,60
India,Bihar,Patna,"Muradpur, Patna - BSPCB","06-04-2026 18:00:00",25.619651,85.147382,CO,8,38,18
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","06-04-2026 18:00:00",25.599486,85.113666,NH3,2,3,3
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD","06-04-2026 18:00:00",28.5627763,77.1180053,PM2.5,8,84,41
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD","06-04-2026 18:00:00",28.5627763,77.1180053,NO2,19,46,33
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","06-04-2026 18:00:00",28.6811736,77.3025234,PM10,62,138,102
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","06-04-2026 18:00:00",28.6811736,77.3025234,SO2,4,26,15
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","06-04-2026 18:00:00",23.016834,72.625775,SO2,6,115,26
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","06-04-2026 18:00:00",23.016834,72.625775,CO,14,98,29
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM","06-04-2026 18:00:00",23.041137,72.456691,PM2.5,22,60,38
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM","06-04-2026 18:00:00",23.041137,72.456691,NO2,4,21,12
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM","06-04-2026 18:00:00",23.041137,72.456691,CO,12,30,15
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","06-04-2026 18:00:00",23.023389,72.515201,PM10,11,46,26
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","06-04-2026 18:00:00",23.076793,72.627874,PM2.5,36,73,50
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","06-04-2026 18:00:00",23.076793,72.627874,SO2,6,88,18
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","06-04-2026 18:00:00",23.076793,72.627874,OZONE,4,74,68
